turn_id,pause_index,p_eot
hi__000,0,0.1274
hi__000,1,0.2642
hi__000,2,0.5914
hi__001,0,0.1978
hi__001,1,0.6195
hi__002,0,0.5570
hi__003,0,0.7003
hi__004,0,0.5174
hi__005,0,0.4737
hi__005,1,0.5696
hi__006,0,0.3637
hi__006,1,0.4493
hi__006,2,0.7875
hi__007,0,0.1666
hi__007,1,0.3344
hi__007,2,0.4669
hi__007,3,0.4191
hi__007,4,0.5442
hi__007,5,0.5890
hi__008,0,0.4900
hi__009,0,0.6773
hi__010,0,0.2287
hi__010,1,0.2416
hi__010,2,0.2731
hi__010,3,0.8520
hi__011,0,0.4604
hi__011,1,0.4224
hi__011,2,0.6947
hi__012,0,0.3816
hi__012,1,0.1888
hi__012,2,0.3190
hi__012,3,0.4036
hi__012,4,0.2923
hi__012,5,0.7362
hi__013,0,0.8549
hi__014,0,0.4148
hi__014,1,0.3351
hi__014,2,0.1868
hi__014,3,0.2188
hi__014,4,0.2676
hi__014,5,0.4479
hi__015,0,0.6514
hi__016,0,0.6667
hi__017,0,0.4081
hi__017,1,0.6471
hi__018,0,0.4056
hi__018,1,0.1533
hi__018,2,0.7777
hi__019,0,0.1647
hi__019,1,0.1230
hi__019,2,0.2412
hi__019,3,0.1669
hi__019,4,0.4826
hi__020,0,0.4215
hi__020,1,0.7608
hi__021,0,0.5669
hi__022,0,0.1505
hi__022,1,0.2102
hi__022,2,0.1425
hi__022,3,0.3155
hi__022,4,0.2592
hi__022,5,0.1703
hi__022,6,0.1234
hi__022,7,0.4770
hi__023,0,0.5849
hi__024,0,0.5875
hi__025,0,0.1385
hi__025,1,0.3304
hi__025,2,0.6985
hi__026,0,0.6805
hi__027,0,0.1686
hi__027,1,0.6425
hi__028,0,0.3262
hi__028,1,0.7755
hi__029,0,0.3202
hi__029,1,0.2575
hi__029,2,0.3908
hi__029,3,0.8917
hi__030,0,0.7592
hi__031,0,0.2200
hi__031,1,0.5050
hi__032,0,0.2559
hi__032,1,0.8494
hi__033,0,0.4194
hi__033,1,0.1708
hi__033,2,0.5727
hi__034,0,0.5143
hi__034,1,0.5253
hi__034,2,0.7657
hi__035,0,0.6824
hi__036,0,0.4675
hi__036,1,0.4316
hi__036,2,0.4496
hi__036,3,0.2754
hi__036,4,0.3157
hi__036,5,0.3603
hi__036,6,0.8133
hi__037,0,0.1626
hi__037,1,0.1764
hi__037,2,0.6689
hi__038,0,0.1177
hi__038,1,0.3421
hi__038,2,0.5101
hi__038,3,0.6897
hi__039,0,0.6452
hi__040,0,0.2972
hi__040,1,0.4958
hi__040,2,0.5823
hi__041,0,0.3964
hi__041,1,0.6031
hi__042,0,0.2937
hi__042,1,0.7735
hi__043,0,0.4462
hi__043,1,0.7020
hi__044,0,0.4133
hi__044,1,0.6595
hi__045,0,0.3916
hi__045,1,0.7958
hi__046,0,0.3066
hi__046,1,0.4287
hi__046,2,0.6943
hi__047,0,0.5468
hi__048,0,0.4511
hi__049,0,0.8202
hi__050,0,0.7717
hi__051,0,0.3827
hi__051,1,0.3553
hi__051,2,0.7709
hi__052,0,0.5569
hi__053,0,0.2459
hi__053,1,0.3451
hi__053,2,0.6458
hi__054,0,0.3707
hi__054,1,0.7292
hi__055,0,0.1453
hi__055,1,0.7057
hi__056,0,0.8039
hi__057,0,0.3152
hi__057,1,0.8632
hi__058,0,0.1978
hi__058,1,0.7936
hi__059,0,0.2832
hi__059,1,0.1326
hi__059,2,0.7415
hi__060,0,0.3710
hi__060,1,0.5497
hi__061,0,0.2041
hi__061,1,0.5852
hi__062,0,0.7162
hi__063,0,0.2340
hi__063,1,0.5453
hi__063,2,0.2540
hi__063,3,0.6549
hi__064,0,0.3096
hi__064,1,0.4501
hi__064,2,0.4971
hi__064,3,0.6923
hi__064,4,0.5489
hi__065,0,0.5756
hi__066,0,0.4047
hi__066,1,0.2886
hi__066,2,0.7716
hi__067,0,0.7048
hi__068,0,0.8031
hi__069,0,0.4158
hi__069,1,0.5134
hi__069,2,0.3541
hi__069,3,0.3026
